idx,time_ms,temp_C,pres_Pa,alt_m,ax_g,ay_g,az_g,lat,lon,gps_alt_m,spd_kn,fix,sats,gps_valid,lat_clean,lon_clean,gps_alt_clean_m,speed_mps,segment,dt_s,time_s,time_min,time_raw_s,accel_mag_g,accel_dynamic_g,baro_alt_rel_m,gps_alt_rel_m,vertical_speed_mps
47,213283,,,,,,,12.608765,100.941322,-0.8,0.03,1,12,True,12.608765,100.941322,-0.8,0.01543332,0,0.0,0.0,0.0,213.283,,,,0.0,
48,223317,,,,,,,12.608765,100.941322,-0.8,0.03,1,12,True,12.608765,100.941322,-0.8,0.01543332,0,10.034,10.034,0.16723333333333334,223.317,,,,0.0,
49,233351,,,,,,,12.608765,100.941322,-0.8,0.03,1,12,True,12.608765,100.941322,-0.8,0.01543332,0,10.034,20.068,0.3344666666666667,233.351,,,,0.0,
50,243385,,,,,,,12.608772,100.94133,-0.9,0.06,1,12,True,12.608772,100.94133,-0.9,0.03086664,0,10.034,30.102000000000004,0.5017,243.385,,,,-0.09999999999999998,
51,253419,,,,,,,12.608772,100.94133,-0.9,0.06,1,12,True,12.608772,100.94133,-0.9,0.03086664,0,10.034,40.136,0.6689333333333334,253.419,,,,-0.09999999999999998,
52,263453,,,,,,,12.608772,100.94133,-0.9,0.06,1,12,True,12.608772,100.94133,-0.9,0.03086664,0,10.034,50.17,0.8361666666666667,263.453,,,,-0.09999999999999998,
53,273487,,,,,,,12.608777,100.94133,10.0,0.06,1,12,True,12.608777,100.94133,10.0,0.03086664,0,10.034,60.204,1.0034,273.487,,,,10.8,
54,283550,,,,,,,12.608777,100.94133,-0.2,0.06,1,12,True,12.608777,100.94133,-0.2,0.03086664,0,10.063,70.267,1.1711166666666666,283.55,,,,0.6000000000000001,
55,293584,,,,,,,12.608778,100.94133,-0.2,0.03,1,12,True,12.608778,100.94133,-0.2,0.01543332,0,10.034,80.301,1.33835,293.584,,,,0.6000000000000001,
56,303618,,,,,,,12.608778,100.941338,-0.3,0.03,1,12,True,12.608778,100.941338,-0.3,0.01543332,0,10.034,90.33500000000001,1.5055833333333335,303.618,,,,0.5,
57,313652,,,,,,,12.608778,100.941338,-0.3,0.03,1,12,True,12.608778,100.941338,-0.3,0.01543332,0,10.034,100.36900000000001,1.6728166666666668,313.652,,,,0.5,
58,323686,,,,,,,12.608778,100.941338,-0.3,0.03,1,12,True,12.608778,100.941338,-0.3,0.01543332,0,10.034,110.40300000000002,1.8400500000000004,323.686,,,,0.5,
59,333720,,,,,,,12.608774,100.941345,10.0,0.89,1,225,True,12.608774,100.941345,10.0,0.45785516000000004,0,10.034,120.43700000000003,2.007283333333334,333.72,,,,10.8,
60,343754,,,,,,,12.608768,100.941338,10.0,0.03,1,225,True,12.608768,100.941338,10.0,0.01543332,0,10.034,130.47100000000003,2.1745166666666673,343.754,,,,10.8,
61,353788,,,,,,,12.608769,100.941338,10.0,0.52,1,225,True,12.608769,100.941338,10.0,0.26751088,0,10.034,140.50500000000002,2.34175,353.788,,,,10.8,
62,363822,,,,,,,12.608787,100.94133,-0.7,0.75,1,12,True,12.608787,100.94133,-0.7,0.385833,0,10.034,150.53900000000002,2.5089833333333336,363.822,,,,0.10000000000000009,
63,373856,,,,,,,12.608805,100.941322,-1.7,0.58,1,12,True,12.608805,100.941322,-1.7,0.29837752,0,10.034,160.573,2.676216666666667,373.856,,,,-0.8999999999999999,
64,383890,,,,,,,12.608807,100.941322,-1.8,0.06,1,12,True,12.608807,100.941322,-1.8,0.03086664,0,10.034,170.607,2.84345,383.89,,,,-1.0,
65,393924,,,,,,,12.608803,100.941322,-1.8,0.99,1,12,True,12.608803,100.941322,-1.8,0.50929956,0,10.034,180.641,3.010683333333333,393.924,,,,-1.0,
66,403958,,,,,,,12.608806,100.941322,-1.6,0.14,1,12,True,12.608806,100.941322,-1.6,0.07202216,0,10.034,190.67499999999998,3.1779166666666665,403.958,,,,-0.8,
67,413992,,,,,,,12.608814,100.941322,-1.6,1.05,1,12,True,12.608814,100.941322,-1.6,0.5401662,0,10.034,200.70899999999997,3.3451499999999994,413.992,,,,-0.8,
68,424027,,,,,,,12.608809,100.941315,-2.0,0.19,1,12,True,12.608809,100.941315,-2.0,0.09774436,0,10.035,210.74399999999997,3.5123999999999995,424.027,,,,-1.2,
69,434061,,,,,,,12.608809,100.941315,-1.6,0.19,1,12,True,12.608809,100.941315,-1.6,0.09774436,0,10.034,220.77799999999996,3.679633333333333,434.061,,,,-0.8,
70,444095,,,,,,,12.608848,100.941322,-1.0,1.85,1,12,True,12.608848,100.941322,-1.0,0.9517214,0,10.034,230.81199999999995,3.8468666666666658,444.095,,,,-0.19999999999999996,
71,454129,,,,,,,12.60896,100.941307,-0.3,2.27,1,12,True,12.60896,100.941307,-0.3,1.1677878800000001,0,10.034,240.84599999999995,4.014099999999999,454.129,,,,0.5,
72,464163,,,,,,,12.609069,100.941307,-0.2,1.83,1,12,True,12.609069,100.941307,-0.2,0.9414325200000001,0,10.034,250.87999999999994,4.181333333333332,464.163,,,,0.6000000000000001,
73,474197,,,,,,,12.609098,100.941315,1.0,0.0,1,12,True,12.609098,100.941315,1.0,0.0,0,10.034,260.91399999999993,4.348566666666666,474.197,,,,1.8,
74,484232,,,,,,,12.609098,100.941315,-0.3,0.0,1,12,True,12.609098,100.941315,-0.3,0.0,0,10.035,270.94899999999996,4.515816666666666,484.232,,,,0.5,
75,494266,,,,,,,12.609098,100.941315,0.0,0.0,1,12,True,12.609098,100.941315,0.0,0.0,0,10.034,280.98299999999995,4.683049999999999,494.266,,,,0.8,
78,524368,,,,,,,12.609091,100.941315,0.0,0.02,1,12,True,12.609091,100.941315,0.0,0.01028888,0,30.102,311.0849999999999,5.184749999999998,524.368,,,,0.8,
79,534434,,,,,,,12.609091,100.941315,0.0,0.02,1,12,True,12.609091,100.941315,0.0,0.01028888,0,10.066,321.1509999999999,5.352516666666665,534.434,,,,0.8,
80,544468,,,,,,,12.60909,100.941315,1.2,0.03,1,12,True,12.60909,100.941315,1.2,0.01543332,0,10.034,331.1849999999999,5.519749999999998,544.468,,,,2.0,
81,554502,,,,,,,12.60909,100.941315,1.2,0.03,1,12,True,12.60909,100.941315,1.2,0.01543332,0,10.034,341.2189999999999,5.686983333333331,554.502,,,,2.0,
82,564536,,,,,,,12.60909,100.941315,1.2,0.03,1,12,True,12.60909,100.941315,1.2,0.01543332,0,10.034,351.2529999999999,5.854216666666664,564.536,,,,2.0,
83,574570,,,,,,,12.60909,100.941315,1.2,0.03,1,12,True,12.60909,100.941315,1.2,0.01543332,0,10.034,361.28699999999986,6.021449999999998,574.57,,,,2.0,
84,584604,,,,,,,12.609086,100.941315,18.0,0.01,1,13,True,12.609086,100.941315,18.0,0.00514444,0,10.034,371.32099999999986,6.188683333333331,584.604,,,,18.8,
85,594638,,,,,,,12.609086,100.941315,18.0,0.01,1,13,True,12.609086,100.941315,18.0,0.00514444,0,10.034,381.35499999999985,6.355916666666664,594.638,,,,18.8,
86,604672,,,,,,,12.609086,100.941315,18.0,0.01,1,13,True,12.609086,100.941315,18.0,0.00514444,0,10.034,391.38899999999984,6.523149999999998,604.672,,,,18.8,
87,614706,,,,,,,12.609085,100.941315,2.0,0.02,1,12,True,12.609085,100.941315,2.0,0.01028888,0,10.034,401.42299999999983,6.6903833333333305,614.706,,,,2.8,
88,624740,,,,,,,12.609085,100.941315,1.8,0.01,1,12,True,12.609085,100.941315,1.8,0.00514444,0,10.034,411.4569999999998,6.857616666666663,624.74,,,,2.6,
89,634775,,,,,,,12.609084,100.941315,1.7,0.01,1,12,True,12.609084,100.941315,1.7,0.00514444,0,10.035,421.49199999999985,7.024866666666664,634.775,,,,2.5,
90,644810,,,,,,,12.609084,100.941315,1.7,0.02,1,12,True,12.609084,100.941315,1.7,0.01028888,0,10.035,431.5269999999999,7.1921166666666645,644.81,,,,2.5,
91,654845,,,,,,,12.609084,100.941315,1.7,0.02,1,12,True,12.609084,100.941315,1.7,0.01028888,0,10.035,441.5619999999999,7.359366666666665,654.845,,,,2.5,
92,664879,,,,,,,12.609084,100.941315,1.7,0.02,1,12,True,12.609084,100.941315,1.7,0.01028888,0,10.034,451.5959999999999,7.526599999999998,664.879,,,,2.5,
93,674913,,,,,,,12.607797,100.940941,292.7,46.37,1,12,True,12.607797,100.940941,292.7,23.85476828,0,10.034,461.6299999999999,7.693833333333331,674.913,,,,293.5,
99,52772,,,,,,,12.60664,100.940544,0.0,0.01,1,0,False,,,,0.00514444,1,10.034,471.6639999999999,7.861066666666664,52.772,,,,,
100,62806,,,,,,,12.606641,100.940544,0.0,0.02,1,0,False,,,,0.01028888,1,10.034,481.69799999999987,8.028299999999998,62.806,,,,,
101,72927,,,,,,,12.606642,100.940544,0.0,0.01,1,39,True,12.606642,100.940544,0.0,0.00514444,1,10.121,491.81899999999985,8.19698333333333,72.927,,,,0.8,
102,82961,,,,,,,12.606648,100.940544,-1.5,0.01,1,12,True,12.606648,100.940544,-1.5,0.00514444,1,10.034,501.85299999999984,8.364216666666664,82.961,,,,-0.7,
103,92996,,,,,,,12.606649,100.940544,0.2,0.01,1,12,True,12.606649,100.940544,0.2,0.00514444,1,10.035,511.88799999999986,8.531466666666665,92.996,,,,1.0,
104,103031,,,,,,,12.606649,100.940544,1.7,0.01,1,12,True,12.606649,100.940544,1.7,0.00514444,1,10.035,521.9229999999999,8.698716666666664,103.031,,,,2.5,
105,113065,,,,,,,12.606649,100.940544,1.7,0.01,1,12,True,12.606649,100.940544,1.7,0.00514444,1,10.034,531.9569999999999,8.865949999999998,113.065,,,,2.5,
106,123099,,,,,,,12.60665,100.940544,2.9,0.01,1,12,True,12.60665,100.940544,2.9,0.00514444,1,10.034,541.9909999999999,9.033183333333332,123.099,,,,3.7,
107,133220,,,,,,,12.606653,100.940536,4.3,0.01,1,12,True,12.606653,100.940536,4.3,0.00514444,1,10.121,552.1119999999999,9.201866666666664,133.22,,,,5.1,
108,143254,,,,,,,12.606653,100.940536,4.3,0.01,1,12,True,12.606653,100.940536,4.3,0.00514444,1,10.034,562.1459999999998,9.369099999999998,143.254,,,,5.1,
109,153288,,,,,,,12.606653,100.940536,4.3,0.01,1,12,True,12.606653,100.940536,4.3,0.00514444,1,10.034,572.1799999999998,9.53633333333333,153.288,,,,5.1,
110,163322,,,,,,,12.606653,100.940536,4.3,0.01,1,12,True,12.606653,100.940536,4.3,0.00514444,1,10.034,582.2139999999998,9.703566666666664,163.322,,,,5.1,
111,173356,,,,,,,12.606653,100.940536,4.3,0.01,1,12,True,12.606653,100.940536,4.3,0.00514444,1,10.034,592.2479999999998,9.870799999999997,173.356,,,,5.1,
112,183485,,,,,,,12.606653,100.940536,4.3,0.01,1,12,True,12.606653,100.940536,4.3,0.00514444,1,10.129,602.3769999999998,10.039616666666664,183.485,,,,5.1,
113,193519,,,,,,,12.606653,100.940536,4.3,0.01,1,12,True,12.606653,100.940536,4.3,0.00514444,1,10.034,612.4109999999998,10.206849999999998,193.519,,,,5.1,
114,203553,,,,,,,12.606653,100.940536,4.3,0.01,1,12,True,12.606653,100.940536,4.3,0.00514444,1,10.034,622.4449999999998,10.37408333333333,203.553,,,,5.1,
115,213587,,,,,,,12.606653,100.940536,4.3,0.01,1,12,True,12.606653,100.940536,4.3,0.00514444,1,10.034,632.4789999999998,10.541316666666663,213.587,,,,5.1,
116,223621,,,,,,,12.606653,100.940536,4.3,0.01,1,12,True,12.606653,100.940536,4.3,0.00514444,1,10.034,642.5129999999998,10.708549999999997,223.621,,,,5.1,
117,233756,,,,,,,12.606663,100561.0,4.3,43.0,1,12,False,,,,22.121092,1,10.135,652.6479999999998,10.877466666666663,233.756,,,,,
118,243791,,,,,,,12.606663,100561.0,4.3,43.0,0,12,False,,,,22.121092,1,10.035,662.6829999999998,11.044716666666663,243.791,,,,,
119,253825,,,,,,,12.606664,100.940529,0.0,0.01,0,0,False,,,,0.00514444,1,10.034,672.7169999999998,11.211949999999996,253.825,,,,,
120,263859,,,,,,,12.606664,100.940529,7.0,0.01,1,12,True,12.606664,100.940529,7.0,0.00514444,1,10.034,682.7509999999997,11.379183333333328,263.859,,,,7.8,
121,274007,,,,,,,12.606665,100.940536,25.0,0.01,1,33,True,12.606665,100.940536,25.0,0.00514444,1,10.148,692.8989999999998,11.548316666666663,274.007,,,,25.8,
122,284157,,,,,,,12.606663,100.940536,6.7,0.01,1,12,True,12.606663,100.940536,6.7,0.00514444,1,10.15,703.0489999999998,11.717483333333329,284.157,,,,7.5,
123,294301,,,,,,,12.606663,100.940536,6.7,0.01,1,12,True,12.606663,100.940536,6.7,0.00514444,1,10.144,713.1929999999998,11.886549999999996,294.301,,,,7.5,
